0,1,2,3,4,5,6,7,8,9
OST-WRO,ZLW600,2019-01-20 05:07:18,2019-01-20 05:25:48,2019-01-20 03:13:48,2019-01-20 03:02:18,,165,NaN,NaN
KIR-WAR,YSV750,2020-09-09 13:17:57,2020-09-09 15:31:09,2020-09-09 10:59:09,2020-09-09 08:58:57,,299,NaN,NaN
POZ-PAR,JVF498,2019-02-15 07:42:20,2019-02-15 09:10:28,2019-02-15 08:32:28,2019-02-15 07:15:20,,67,NaN,NaN
WAR-RZY,XVB915,2020-09-10 19:29:07,2020-09-10 21:11:14,2020-09-10 17:46:14,2020-09-10 16:15:07,,234,NaN,NaN
KOL-OST,JAA194,2020-03-25 06:24:26,2020-03-25 07:41:21,2020-03-25 05:28:21,2020-03-25 04:23:26,,161,NaN,NaN
KOL-WAR,FYJ448,2019-08-04 12:10:16,2019-08-04 13:38:13,2019-08-04 11:33:13,2019-08-04 10:14:16,,156,NaN,NaN
OST-WRO,XCN517,2019-01-27 09:13:37,2019-01-27 09:35:07,2019-01-27 08:24:07,2019-01-27 08:12:37,,101,NaN,NaN
BAR-RZY,WHA378,2019-06-12 19:30:40,2019-06-12 20:44:59,2019-06-12 19:07:59,2019-06-12 18:01:40,,129,NaN,NaN
SZT-PAR,CXU469,2020-07-12 14:00:18,2020-07-12 15:59:48,2020-07-12 13:39:48,2020-07-12 11:46:18,,174,NaN,NaN
BRU-GDA,LUS459,2020-02-23 06:19:50,2020-02-23 07:43:57,2020-02-23 07:33:57,2020-02-23 06:19:50,,37,NaN,NaN
SYB-GDA,YLK432,2019-12-20 22:27:41,2019-12-20 23:47:33,2019-12-20 20:25:33,2019-12-20 19:07:41,,240,NaN,NaN
LUB-OSL,ZEI514,2019-03-08 20:30:52,2019-03-08 22:30:37,2019-03-08 20:02:37,2019-03-08 18:06:52,,184,NaN,NaN
BER-SYB,BOR757,2020-06-22 17:30:35,2020-06-22 19:11:14,2020-06-22 16:02:14,2020-06-22 14:35:35,BOR757-ZVD638-YNG,215,NaN,NaN
WRO-KOP,ADO642,2020-04-29 20:43:43,2020-04-29 21:34:53,2020-04-29 19:09:53,2020-04-29 18:26:43,,177,NaN,NaN
SZT-POZ,CIF342,2019-01-03 02:57:39,2019-01-03 04:08:59,2019-01-03 01:24:59,2019-01-03 00:24:39,CIF342-YLK432-UIY,193,NaN,NaN
HEL-BER,JQO874,2019-02-03 12:10:49,2019-02-03 13:41:50,2019-02-03 10:56:50,2019-02-03 09:35:49,,195,NaN,NaN
BRU-LON,EHA425,2020-08-19 03:03:35,2020-08-19 03:37:05,2020-08-19 02:14:05,2020-08-19 01:50:35,,113,NaN,NaN
OST-HAM,CIF342,2020-03-20 19:54:38,2020-03-20 20:46:24,2020-03-20 19:14:24,2020-03-20 18:25:38,,129,NaN,NaN
BAR-GDA,MMR729,2019-04-27 14:18:26,2019-04-27 16:55:55,2019-04-27 16:41:55,2019-04-27 14:18:26,,22,NaN,NaN
KRA-HAM,UGM799,2019-04-09 16:01:15,2019-04-09 17:10:23,2019-04-09 13:01:23,2019-04-09 12:00:15,,281,NaN,NaN
SZT-PAR,NOI860,2019-04-23 01:28:58,2019-04-23 03:33:28,2019-04-23 02:26:28,2019-04-23 00:32:58,,96,NaN,NaN
KOL-KAL,ZXP286,2019-09-03 17:07:35,2019-09-03 19:30:23,2019-09-03 17:42:23,2019-09-03 15:23:35,,144,NaN,NaN
LON-KOP,ZXP286,2019-03-12 15:21:42,2019-03-12 16:30:07,2019-03-12 12:41:07,2019-03-12 11:36:42,,265,NaN,NaN
SYB-LIP,IGJ449,2020-07-08 00:56:09,2020-07-08 02:26:13,2020-07-08 00:09:13,2020-07-07 22:44:09,,172,NaN,NaN
WRO-KOL,MMR729,2020-04-06 20:58:49,2020-04-06 22:04:24,2020-04-06 17:49:24,2020-04-06 16:56:49,,282,NaN,NaN
LUB-OSL,WNB876,2020-10-29 10:24:38,2020-10-29 12:33:23,2020-10-29 08:04:23,2020-10-29 06:08:38,,296,NaN,NaN
BRU-KAL,TVL412,2020-09-27 16:19:38,2020-09-27 18:55:19,2020-09-27 17:25:19,2020-09-27 15:00:38,,119,NaN,NaN
BAR-BRU,BOR757,2019-03-06 19:20:01,2019-03-06 20:48:00,2019-03-06 16:19:00,2019-03-06 15:03:01,,297,NaN,NaN
HEL-RZY,ZNG543,2019-10-23 17:10:49,2019-10-23 19:53:56,2019-10-23 16:04:56,2019-10-23 13:34:49,,256,NaN,NaN
HAM-OSL,BOR757,2020-10-07 11:11:58,2020-10-07 12:00:35,2020-10-07 10:41:35,2020-10-07 09:52:58,,119,NaN,NaN
HEL-RZY,JQO874,2019-03-01 08:49:44,2019-03-01 11:32:51,2019-03-01 09:54:51,2019-03-01 07:24:44,,125,NaN,NaN
KRA-POZ,TPT705,2019-10-20 15:26:25,2019-10-20 16:02:49,2019-10-20 13:41:49,2019-10-20 13:18:25,TPT705-OKG686-CWL,168,NaN,NaN
KOL-KAL,OFG488,2019-02-28 11:08:51,2019-02-28 13:32:39,2019-02-28 10:04:39,2019-02-28 07:45:51,,243,NaN,NaN
BRU-LON,NIY536,2020-04-21 01:24:42,2020-04-21 01:56:12,2020-04-20 23:17:12,2020-04-20 22:53:42,,191,NaN,NaN
OST-WRO,FYJ448,2019-11-25 04:30:08,2019-11-25 04:41:38,2019-11-25 00:27:38,2019-11-25 00:16:08,FYJ448-OKG686-IJA,294,NaN,NaN
LIP-PRA,CNK706,2019-09-27 15:06:44,2019-09-27 15:28:37,2019-09-27 12:18:37,2019-09-27 12:03:44,,223,NaN,NaN
LIP-PRA,ZXP286,2019-04-01 02:14:58,2019-04-01 02:37:51,2019-04-01 01:00:51,2019-04-01 00:45:58,,129,NaN,NaN
EVE-BER,ZAQ345,2019-09-12 15:09:36,2019-09-12 17:19:56,2019-09-12 14:00:56,2019-09-12 11:58:36,,231,NaN,NaN
WRO-SYB,BBF497,2019-04-10 17:18:05,2019-04-10 18:28:00,2019-04-10 15:12:00,2019-04-10 14:14:05,,224,NaN,NaN
BAR-GDA,HOL512,2020-04-26 10:07:26,2020-04-26 12:35:55,2020-04-26 11:53:55,2020-04-26 09:30:26,,77,NaN,NaN
KRA-POZ,XDD308,2020-11-27 06:35:38,2020-11-27 07:11:02,2020-11-27 04:07:02,2020-11-27 03:43:38,,212,NaN,NaN
PRA-BAR,XSA366,2019-12-18 04:21:30,2019-12-18 06:17:38,2019-12-18 03:05:38,2019-12-18 01:22:30,,219,NaN,NaN
GDA-PAR,HJQ986,2019-03-19 17:25:07,2019-03-19 19:04:50,2019-03-19 17:50:50,2019-03-19 16:13:07,,112,NaN,NaN
LON-HAM,PDS116,2019-05-24 00:51:36,2019-05-24 01:51:32,2019-05-23 21:30:32,2019-05-23 20:40:36,,291,NaN,NaN
BRU-KAL,BOR757,2019-08-29 17:58:12,2019-08-29 20:31:53,2019-08-29 16:58:53,2019-08-29 14:34:12,,244,NaN,NaN
KOL-WAR,SSC941,2020-09-19 10:55:23,2020-09-19 12:17:20,2020-09-19 11:54:20,2020-09-19 10:35:23,,60,NaN,NaN
OSL-EVE,EEM231,2020-04-23 06:33:15,2020-04-23 07:51:17,2020-04-23 06:56:17,2020-04-23 05:39:15,,94,NaN,NaN
SZT-POZ,EKP219,2019-09-26 07:46:36,2019-09-26 08:51:56,2019-09-26 08:46:56,2019-09-26 07:46:36,,20,NaN,NaN
OSL-KIR,JJY798,2020-10-08 18:40:19,2020-10-08 20:02:50,2020-10-08 17:46:50,2020-10-08 16:36:19,,164,NaN,NaN
BRU-KAL,GKM691,2020-05-04 15:44:30,2020-05-04 18:21:11,2020-05-04 17:15:11,2020-05-04 14:50:30,,94,NaN,NaN
KOL-WAR,XVB915,2019-02-25 06:50:46,2019-02-25 08:19:43,2019-02-25 07:16:43,2019-02-25 05:57:46,,93,NaN,NaN
BAR-BRU,UGM799,2020-06-23 05:23:35,2020-06-23 06:41:34,2020-06-23 05:06:34,2020-06-23 03:50:35,,133,NaN,NaN
LON-KOP,VSC935,2019-10-27 04:04:33,2019-10-27 05:15:58,2019-10-27 05:02:58,2019-10-27 03:58:33,,46,NaN,NaN
EVE-HEL,ZAQ345,2019-02-12 00:45:09,2019-02-12 02:04:19,2019-02-12 02:03:19,2019-02-12 00:45:09,,35,NaN,NaN
SZT-PAR,XEV536,2020-10-31 16:37:04,2020-10-31 18:37:34,2020-10-31 17:04:34,2020-10-31 15:11:04,,126,NaN,NaN
KRA-ATE,ZCB520,2020-09-27 11:24:55,2020-09-27 13:10:57,2020-09-27 13:07:57,2020-09-27 11:24:55,,36,NaN,NaN
SYB-LIP,AGS177,2019-12-28 08:27:19,2019-12-28 10:01:23,2019-12-28 08:45:23,2019-12-28 07:20:19,,107,NaN,NaN
ATE-KAL,AJV377,2019-08-08 14:50:39,2019-08-08 15:13:49,2019-08-08 14:17:49,2019-08-08 14:05:39,,85,NaN,NaN
POZ-PAR,HOL512,2020-01-20 11:09:00,2020-01-20 12:30:08,2020-01-20 09:47:08,2020-01-20 08:30:00,,199,NaN,NaN
HAM-OSL,ZAQ345,2019-04-09 10:02:46,2019-04-09 11:03:23,2019-04-09 08:41:23,2019-04-09 07:52:46,,170,NaN,NaN
KOL-WAR,XCN517,2019-10-13 04:04:26,2019-10-13 05:28:23,2019-10-13 01:36:23,2019-10-13 00:17:26,,267,NaN,NaN
KOL-WAR,IWE377,2020-07-28 20:41:22,2020-07-28 22:02:19,2020-07-28 17:57:19,2020-07-28 16:38:22,,283,NaN,NaN
KAL-POZ,UMU519,2020-10-19 09:27:01,2020-10-19 11:42:27,2020-10-19 07:27:27,2020-10-19 05:25:01,,282,NaN,NaN
KRA-RZY,UAB627,2019-04-05 15:22:19,2019-04-05 16:51:20,2019-04-05 14:36:20,2019-04-05 13:15:19,UAB627-XZZ571-XGQ,167,NaN,NaN
KOL-WAR,BQF749,2019-12-02 00:13:34,2019-12-02 01:33:31,2019-12-02 01:32:31,2019-12-02 00:13:34,,26,NaN,NaN
OST-HAM,YLK432,2020-10-27 08:04:20,2020-10-27 09:07:06,2020-10-27 05:55:06,2020-10-27 05:06:20,,218,NaN,NaN
RZY-EVE,HJQ986,2019-03-17 11:04:01,2019-03-17 14:49:01,2019-03-17 11:28:01,2019-03-17 07:51:01,,233,NaN,NaN
OSL-KIR,ZCB520,2020-03-28 22:23:34,2020-03-28 23:44:05,2020-03-28 20:24:05,2020-03-28 19:13:34,,230,NaN,NaN
PAR-HAM,RUN854,2020-01-09 13:11:48,2020-01-09 14:09:09,2020-01-09 12:38:09,2020-01-09 11:45:48,,126,NaN,NaN
HAM-ATE,LCU472,2020-02-08 19:49:24,2020-02-08 22:16:34,2020-02-08 17:55:34,2020-02-08 15:30:24,,299,NaN,NaN
WRO-KOP,JJY798,2019-06-11 13:36:08,2019-06-11 14:22:18,2019-06-11 10:49:18,2019-06-11 10:06:08,,250,NaN,NaN
HEL-SYB,FML277,2019-01-11 10:19:14,2019-01-11 12:08:27,2019-01-11 10:05:27,2019-01-11 08:17:14,FML277-GKM691-PJT,162,NaN,NaN
WRO-SYB,BUA130,2020-07-03 03:41:34,2020-07-03 04:50:29,2020-07-03 02:10:29,2020-07-03 01:12:34,,189,NaN,NaN
LUB-POZ,XCB785,2019-02-06 22:43:58,2019-02-06 23:37:48,2019-02-06 21:48:48,2019-02-06 20:54:58,,149,NaN,NaN
OSL-EVE,UGG572,2019-02-18 05:58:06,2019-02-18 07:15:08,2019-02-18 03:07:08,2019-02-18 01:50:06,,288,NaN,NaN
WRO-SYB,ZGI510,2019-01-09 14:35:04,2019-01-09 15:35:59,2019-01-09 12:27:59,2019-01-09 11:30:04,,225,NaN,NaN
KOL-WAR,VSC935,2019-04-14 23:52:00,2019-04-15 01:22:57,2019-04-15 00:08:57,2019-04-14 22:50:00,,102,NaN,NaN
LUB-OSL,EHA425,2019-03-07 23:08:51,2019-03-08 01:08:36,2019-03-08 00:46:36,2019-03-07 22:50:51,,58,NaN,NaN
WRO-BRU,NYV956,2019-06-15 04:51:46,2019-06-15 06:06:50,2019-06-15 02:57:50,2019-06-15 01:47:46,,224,NaN,NaN
BER-SYB,AJV377,2020-01-28 03:34:05,2020-01-28 05:01:44,2020-01-28 01:37:44,2020-01-28 00:11:05,AJV377-HJQ986-YWE,243,NaN,NaN
LIP-WRO,FYJ448,2019-04-02 10:39:04,2019-04-02 11:15:21,2019-04-02 10:05:21,2019-04-02 09:42:04,,97,NaN,NaN
WRO-KOP,VSC935,2020-04-01 09:14:35,2020-04-01 10:05:45,2020-04-01 08:39:45,2020-04-01 07:56:35,,118,NaN,NaN
BAR-GDA,CXU469,2020-11-28 21:23:07,2020-11-28 23:59:36,2020-11-28 21:47:36,2020-11-28 19:24:07,,159,NaN,NaN
LUB-OSL,GOR387,2019-06-04 06:16:34,2019-06-04 08:23:19,2019-06-04 06:25:19,2019-06-04 04:29:34,,147,NaN,NaN
KOL-OST,ZCB520,2020-09-26 00:01:31,2020-09-26 01:17:26,2020-09-25 21:20:26,2020-09-25 20:15:31,,266,NaN,NaN
SYB-GDA,CNK706,2020-11-09 11:15:14,2020-11-09 12:45:06,2020-11-09 11:39:06,2020-11-09 10:21:14,,94,NaN,NaN
SYB-GDA,ZCB520,2020-10-30 17:57:24,2020-10-30 19:25:16,2020-10-30 15:46:16,2020-10-30 14:28:24,,249,NaN,NaN
RZY-EVE,XEV536,2019-11-21 06:23:48,2019-11-21 10:04:48,2019-11-21 07:58:48,2019-11-21 04:21:48,,162,NaN,NaN
HEL-RZY,JVF498,2020-02-21 14:52:17,2020-02-21 17:24:24,2020-02-21 15:36:24,2020-02-21 13:06:17,,146,NaN,NaN
KOL-OST,GUU740,2019-02-21 01:26:50,2019-02-21 02:42:45,2019-02-20 22:59:45,2019-02-20 21:54:50,,252,NaN,NaN
PRA-BAR,YSV750,2020-09-07 01:27:01,2020-09-07 03:22:09,2020-09-06 23:33:09,2020-09-06 21:50:01,,257,NaN,NaN
SYB-GDA,JQO874,2020-09-02 21:25:53,2020-09-02 22:54:45,2020-09-02 22:19:45,2020-09-02 21:01:53,,64,NaN,NaN
WAR-RZY,YSV750,2020-05-08 19:36:28,2020-05-08 21:13:35,2020-05-08 16:50:35,2020-05-08 15:19:28,,297,NaN,NaN
BRU-LON,NIY536,2019-09-30 16:42:57,2019-09-30 17:11:27,2019-09-30 13:12:27,2019-09-30 12:48:57,,274,NaN,NaN
ATE-BER,TVL412,2019-11-11 21:04:06,2019-11-11 23:24:22,2019-11-11 19:50:22,2019-11-11 17:41:06,,243,NaN,NaN
KIR-OST,LIM570,2019-10-04 21:23:08,2019-10-05 00:14:18,2019-10-04 20:15:18,2019-10-04 17:35:08,,268,NaN,NaN
LIP-WRO,MMR729,2019-06-13 13:23:58,2019-06-13 13:49:15,2019-06-13 11:40:15,2019-06-13 11:16:58,,167,NaN,NaN
KAL-POZ,EKP219,2020-09-03 00:01:36,2020-09-03 02:15:02,2020-09-03 00:13:02,2020-09-02 22:10:36,,151,NaN,NaN
BAR-GDA,RUN854,2019-08-17 06:22:24,2019-08-17 08:51:53,2019-08-17 08:40:53,2019-08-17 06:17:24,,45,NaN,NaN
PRA-BAR,TPT705,2020-08-19 19:58:01,2020-08-19 21:52:09,2020-08-19 18:39:09,2020-08-19 16:56:01,,222,NaN,NaN
